iter	Quantile:alpha=0.98
0	0.05362967452
1	0.05262092035
2	0.05182019115
3	0.05133296458
4	0.05068547379
5	0.05026283617
6	0.0495529032
7	0.04888795732
8	0.04832190278
9	0.04766007613
10	0.04706078303
11	0.0463777052
12	0.04607322764
13	0.04563645228
14	0.04530379885
15	0.04456953269
16	0.04434128669
17	0.04363953736
18	0.04347193731
19	0.04311948578
20	0.04261229941
21	0.04235666055
22	0.04208989278
23	0.04173913376
24	0.04154409145
25	0.04117533733
26	0.04064436667
27	0.03997534891
28	0.03953441825
29	0.03915344647
30	0.03873324145
31	0.03815744838
32	0.03770217679
33	0.03713986421
34	0.0368627224
35	0.03646206719
36	0.03610149736
37	0.03585011265
38	0.03564299404
39	0.0354986697
40	0.03526109201
41	0.03483344295
42	0.03454526472
43	0.03432610123
44	0.03397240468
45	0.03368671438
46	0.03323915927
47	0.03300612775
48	0.03271715822
49	0.03246914545
50	0.03211352831
51	0.03182604635
52	0.03165118581
53	0.03126467486
54	0.03096454382
55	0.03058583132
56	0.03047176095
57	0.03011089277
58	0.02989605342
59	0.02965788043
60	0.0294755708
61	0.02926379319
62	0.02901643523
63	0.02891826989
64	0.02886530337
65	0.02858285559
66	0.02839366961
67	0.02797042342
68	0.02776047935
69	0.02754419221
70	0.02721393172
71	0.0269901895
72	0.02672825304
73	0.02661685792
74	0.02636563188
75	0.02627776216
76	0.0260682415
77	0.02592003532
78	0.02582650769
79	0.02557365807
80	0.02550794191
81	0.02534494426
82	0.0252768199
83	0.02508364259
84	0.02492710495
85	0.02471693313
86	0.02457237537
87	0.02442539152
88	0.02425790121
89	0.02417143268
90	0.02409460415
91	0.02398780309
92	0.02389816995
93	0.02369916691
94	0.0235960356
95	0.02352283705
96	0.02339086568
97	0.02326076727
98	0.02310373091
99	0.02301192811
100	0.02289636376
101	0.02277124624
102	0.02271306083
103	0.02264080561
104	0.02251573321
105	0.02246750169
106	0.02236453776
107	0.0222812117
108	0.02216703975
109	0.0220173221
110	0.02194132888
111	0.02176415033
112	0.02160604193
113	0.02151683691
114	0.02141750322
115	0.02124760427
116	0.02105481099
117	0.0210119783
118	0.02090764332
119	0.0207253104
120	0.0205185112
121	0.0204546803
122	0.02033983947
123	0.02026335335
124	0.02021074377
125	0.02017147198
126	0.02009712636
127	0.02003238095
128	0.0199429117
129	0.01980350759
130	0.0196955266
131	0.01963085944
132	0.01957388323
133	0.01950132751
134	0.01943739459
135	0.01939386395
136	0.01929315652
137	0.01917543738
138	0.01911213049
139	0.01902252163
140	0.01894552131
141	0.0188632492
142	0.01880690669
143	0.01876393058
144	0.01872251298
145	0.01865927581
146	0.01862271609
147	0.01855916362
148	0.01849382388
149	0.01845169545
150	0.01841181222
151	0.01833283711
152	0.01828527323
153	0.01821116734
154	0.01816112472
155	0.01809631416
156	0.01804231546
157	0.01802021852
158	0.01798059641
159	0.01792035205
160	0.01784454808
161	0.01780006817
162	0.01777588526
163	0.01773415576
164	0.01762401512
165	0.01759343509
166	0.01756819588
167	0.01754543103
168	0.01751597247
169	0.01747883137
170	0.01741568309
171	0.01739213659
172	0.01734951505
173	0.01731510104
174	0.01727165
175	0.01725837309
176	0.01721158184
177	0.01717880528
178	0.01712497575
179	0.0170999057
180	0.01708880058
181	0.01706980487
182	0.01702540586
183	0.01699158972
184	0.01696622097
185	0.01694250958
186	0.01685878797
187	0.01683422232
188	0.01680203821
189	0.01676712377
190	0.0167356316
191	0.01672190101
192	0.01667230948
193	0.01664890855
194	0.01661526929
195	0.01657683946
196	0.01653803972
197	0.01652215942
198	0.01649068282
199	0.01643644982
